id,text,created_at,retweet_count,like_count
1950952339340423502,RT @SpaceX: Watch Falcon 9 launch Dragon and Crew-11 to the @Space_Station → https://t.co/DIuBob7vs6 https://t.co/3OYw70sqzK,2025-07-31 16:10:59+00:00,736,0
1950948587204145263,RT @SpaceX: Crew-11 on the importance of space exploration on the road to making life multiplanetary https://t.co/QKVia8SXPK,2025-07-31 15:56:04+00:00,352,0
1950838749933494714,"RT @Starlink: Starlink Performance is designed to provide resilient high-speed connectivity in remote areas and harsh environments, includi…",2025-07-31 08:39:37+00:00,960,0
1950838470420918456,@WholeMarsBlog 🤔,2025-07-31 08:38:30+00:00,89,1617
1950836782477799623,RT @cb_doge: Grok Imagine is amazing. 💫✨ https://t.co/NhZx5izJHs,2025-07-31 08:31:48+00:00,947,0
1950836498015965500,@MarioNawfal @ScottJenningsKY 🔥,2025-07-31 08:30:40+00:00,73,849
1950834916985581722,"RT @Teslaconomics: My first Tesla Robotaxi ride in the Bay Area, CA! 🔥 https://t.co/arZykKfNbZ",2025-07-31 08:24:23+00:00,910,0
1950832958501441864,@JessePeltan Truly massive battery tonnage is coming,2025-07-31 08:16:36+00:00,114,1145
1950832520008016125,@cb_doge Hmm,2025-07-31 08:14:52+00:00,105,1076
1950832294719352900,@TheCaptainEli ❤️,2025-07-31 08:13:58+00:00,65,637
1950832138993238468,"RT @YunTaTsai1: On-demand chauffeur, powered by the real world AI.",2025-07-31 08:13:21+00:00,532,0
1950826456189473029,"You can now ride-hail a Tesla in the SF Bay Area, in addition to Austin https://t.co/53dG2dDhdW",2025-07-31 07:50:46+00:00,5278,39293
1950825968953893373,"RT @SawyerMerritt: BREAKING: Tesla’s ride-hailing service is officially live in the Bay Area in their Robotaxi app!

It covers a large area…",2025-07-31 07:48:50+00:00,1013,0
1950697317188968742,RT @Starlink: Starlink connects your home to reliable high-speed internet 🛰️🏠,2025-07-30 23:17:37+00:00,1299,0
1950628635876205004,@teslaownersSV @theXtakeover @hahayesonsol Much appreciated,2025-07-30 18:44:42+00:00,192,1850
1950628593031372987,"RT @teslaownersSV: Hey @elonmusk , this video was created for the “Brick of Belief” gifting at @theXTakeover, intentionally kept short due…",2025-07-30 18:44:32+00:00,1509,0
1950628379159621957,What matters is solving the limiting factor https://t.co/PcPOdlAnDl,2025-07-30 18:43:41+00:00,3114,21962
1950628256136429788,🎯 https://t.co/PcPOdlAnDl,2025-07-30 18:43:11+00:00,5,45
